Year,State,District,Quarter,House_Type,Interest_Rate,Inflation_Rate,GDP,Unemployment_Rate,Population,House_Overhang,House_Price,House_Supply
2015,Johor,Kulai,3,Condominium,3.21,3.83,297965,3.1,78.7,49,307500,1908
2015,Johor,Kulai,3,Detached House,3.21,3.83,297965,3.1,78.7,0,160000,3677
2015,Johor,Kulai,3,Flat,3.21,3.83,297965,3.1,78.7,0,,904
2015,Johor,Kulai,3,Semi-Detached House,3.21,3.83,297965,3.1,78.7,32,425000,2552
2015,Johor,Kulai,3,Terraced House,3.21,3.83,297965,3.1,78.7,51,250000,44340
2015,Johor,Kulai,3,Town House,3.21,3.83,297965,3.1,78.7,0,314000,225
2015,Johor,Kulai,4,Cluster House,3.16,3.6,307745,3.1,78.7,0,555000,283
2015,Johor,Kulai,4,Condominium,3.16,3.6,307745,3.1,78.7,30,100000,1908
2015,Johor,Kulai,4,Detached House,3.16,3.6,307745,3.1,78.7,0,154000,3677
2015,Johor,Kulai,4,Flat,3.16,3.6,307745,3.1,78.7,0,120000,904
2015,Johor,Kulai,4,Semi-Detached House,3.16,3.6,307745,3.1,78.7,44,530000,2552
2015,Johor,Kulai,4,Terraced House,3.16,3.6,307745,3.1,78.7,123,240000,44366
2015,Johor,Kulai,4,Town House,3.16,3.6,307745,3.1,78.7,0,,225
2015,Johor,Mersing,1,Cluster House,3.24,1.1,282255,3.1,270.2,0,,0
2015,Johor,Mersing,1,Condominium,3.24,1.1,282255,3.1,270.2,0,,0
2015,Johor,Mersing,1,Detached House,3.24,1.1,282255,3.1,270.2,0,196000,1662
2015,Johor,Mersing,1,Flat,3.24,1.1,282255,3.1,270.2,0,,0
2015,Johor,Mersing,1,Semi-Detached House,3.24,1.1,282255,3.1,270.2,0,,184
2015,Johor,Mersing,1,Terraced House,3.24,1.1,282255,3.1,270.2,0,166125,2183
2015,Johor,Mersing,1,Town House,3.24,1.1,282255,3.1,270.2,0,,0
2015,Johor,Mersing,2,Cluster House,3.23,2.8,288975,3.1,270.2,0,,0
2015,Johor,Mersing,2,Condominium,3.23,2.8,288975,3.1,270.2,0,,0
2015,Johor,Mersing,2,Detached House,3.23,2.8,288975,3.1,270.2,0,185000,1662
2015,Johor,Mersing,2,Flat,3.23,2.8,288975,3.1,270.2,0,,0
2015,Johor,Mersing,2,Semi-Detached House,3.23,2.8,288975,3.1,270.2,0,140000,186
2015,Johor,Mersing,2,Terraced House,3.23,2.8,288975,3.1,270.2,0,171000,2188
2015,Johor,Mersing,2,Town House,3.23,2.8,288975,3.1,270.2,0,,0
